date,open,high,low,close,volume,returns,log_returns,volatility,sma_20,sma_60
2025-03-25,348.22,351.36,344.04,346.85,40540450,0.011077102463197708,0.011016200694410389,0.23161427872160414,335.322,318.8063333333333
2025-03-26,344.21,346.75,343.65,345.8,21701752,-0.003027245206861817,-0.0030318365821202366,0.21494880357489304,335.88,320.06716666666665
2025-03-27,341.88,343.58,335.93,340.37,19022248,-0.01570271833429726,-0.015827312043660297,0.20878955959150797,336.5115,321.2476666666667
2025-03-28,336.33,340.82,331.31,335.47,21367249,-0.014396098363545495,-0.014500727569833897,0.2157824192798149,336.968,322.36633333333333
2025-03-31,335.92,336.78,335.53,335.84,29601474,0.0011029302173068967,0.0011023224366268406,0.20962629555917936,337.19550000000004,323.3875
2025-04-01,328.42,329.69,326.43,328.34,35082206,-0.02233206288708911,-0.022585199205950732,0.21985084530558138,336.83849999999995,324.2736666666667
2025-04-02,338.04,341.82,336.88,338.72,8945274,0.03161357129804476,0.031124150520182928,0.2468845096258059,337.1185,325.3283333333333
2025-04-03,333.36,333.71,331.86,333.37,35387899,-0.015794756731223547,-0.015920823122084156,0.25092651294172297,337.303,326.2126666666667
2025-04-04,341.19,343.38,336.42,341.91,46178628,0.025617182109967995,0.025294560271282684,0.26344854869793194,337.7175,327.13483333333335
2025-04-07,342.98,346.73,340.52,343.12,6744453,0.0035389429966949937,0.0035326956728713903,0.2527232952082219,338.5025,328.13100000000003
2025-04-08,341.95,345.32,341.86,342.33,33280451,-0.00230240149218941,-0.002305056093927112,0.253277201474757,339.2,328.9661666666667
2025-04-09,341.79,345.46,339.58,341.17,6565251,-0.00338854321853177,-0.0033942973334923905,0.24954073149153386,340.01750000000004,329.66633333333334
2025-04-10,338.33,340.39,334.61,337.94,11948861,-0.009467420933845339,-0.009512521848701902,0.24824974973223213,340.42449999999997,330.21
2025-04-11,335.25,337.56,333.78,336.01,38712056,-0.005711072971533393,-0.005727443507414236,0.24456008168725554,340.5,330.58700000000005
2025-04-14,335.99,338.75,332.14,337.12,37410868,0.003303473110919386,0.0032980286307895327,0.2184538171753238,340.12800000000004,330.9228333333333
2025-04-15,340.54,343.14,338.1,340.94,46089785,0.01133127669672529,0.011267558666900006,0.21990959710268493,340.11949999999996,331.26433333333335
2025-04-16,346.57,349.25,345.73,346.81,5166323,0.01721710564908774,0.017070570831322577,0.22817643670771537,340.40500000000003,331.6238333333333
2025-04-17,343.12,346.2,340.67,344.48,34731209,-0.006718376056053743,-0.006741045938048572,0.22165861929189865,340.2875,331.9555
2025-04-18,348.47,352.17,344.94,346.64,11904952,0.006270320483046765,0.006250743815600922,0.22272296676723882,340.31399999999996,332.3725
2025-04-21,350.48,356.1,347.54,351.07,48415798,0.01277982921763221,0.012698856350083448,0.2243385255596355,340.71500000000003,332.9773333333334
2025-04-22,350.68,355.74,346.94,349.54,31125122,-0.004358105221180852,-0.004367629443522146,0.22205020633289843,340.8495,333.5933333333333
2025-04-23,351.8,356.5,347.08,352.77,25621406,0.009240716370086277,0.009198282165218896,0.22374468163970493,341.198,334.2675
2025-04-24,353.2,357.0,349.39,353.62,22954198,0.0024095019417751384,0.002406603746509262,0.2147696972759514,341.8605,334.92383333333333
2025-04-25,355.06,356.28,349.13,352.63,44951441,-0.0027996154063684164,-0.0028035416592911743,0.20682720173932276,342.7185,335.55199999999996
2025-04-28,354.78,355.43,351.08,354.78,49742518,0.006097042225562177,0.0060785304701413655,0.20711443501458726,343.66549999999995,336.2451666666667
2025-04-29,360.7,365.17,354.58,359.18,40231623,0.012402051975872519,0.012325776529796974,0.18686012660809995,345.20750000000004,336.96999999999997
2025-04-30,354.91,356.92,354.1,354.83,15424712,-0.012110919316220325,-0.012184854051019106,0.16622991518480343,346.01300000000003,337.60166666666663
2025-05-01,358.31,362.79,356.3,359.17,34290089,0.012231209311501345,0.0121570124696155,0.15498116620760397,347.303,338.2776666666667
2025-05-02,363.7,367.98,362.13,364.6,34825983,0.015118189158337403,0.015005048235376052,0.1390185275045276,348.4375,338.97116666666665
2025-05-05,367.71,369.09,363.97,367.17,17412432,0.007048820625342733,0.007024093817794012,0.13967064070751437,349.64,339.6886666666667
2025-05-06,361.31,363.75,356.94,360.5,41112882,-0.01816597216548199,-0.01833299933735308,0.15840067879723163,350.5485,340.50849999999997
2025-05-07,359.67,363.02,355.87,358.86,5224023,-0.00454923717059641,-0.004559616440483132,0.1590385293031134,351.433,341.15183333333334
2025-05-08,351.91,354.15,350.02,351.04,32921796,-0.021791227776848943,-0.022032163197655257,0.17647874909344094,352.088,341.61133333333333
2025-05-09,349.02,352.17,344.31,347.63,18969627,-0.009713992707383823,-0.009761481320821257,0.1793360465881644,352.669,341.925
2025-05-12,335.8,339.87,331.91,335.68,17450994,-0.0343756292609958,-0.034980370558111776,0.22024814301199985,352.597,341.9566666666667
2025-05-13,334.74,334.8,331.45,334.42,26554732,-0.0037535748331744,-0.003760637173409304,0.21631803289148663,352.271,341.88416666666666
2025-05-14,326.45,331.24,323.46,326.76,49365460,-0.022905328628670563,-0.02317173156085449,0.21867897922431326,351.2685,341.7293333333334
2025-05-15,323.66,328.44,319.37,324.7,13549840,-0.006304321214346875,-0.006324277364868225,0.21858756189979917,350.2795,341.6318333333333
2025-05-16,320.83,321.62,317.54,321.13,27885035,-0.010994764397905699,-0.011055653539165943,0.21761015960470612,349.004,341.4436666666667
2025-05-19,316.13,318.33,314.54,317.76,33251026,-0.010494192383146972,-0.010549644712826453,0.20973755416478893,347.3385,341.05199999999996
2025-05-20,325.42,325.86,320.25,324.06,26653400,0.019826283987915527,0.0196323029760471,0.22737552208162307,346.0645,340.74533333333335
2025-05-21,328.39,328.52,323.28,327.21,15505138,0.009720422144047225,0.009673482775906309,0.2277431268628702,344.7865,340.62149999999997
2025-05-22,328.39,329.5,324.67,328.01,37622965,0.002444913052779496,0.002441929115516803,0.22775566826318863,343.506,340.62600000000003
2025-05-23,328.39,332.74,325.0,328.51,9301787,0.0015243437700069862,0.0015231831373614636,0.22848667451757268,342.3,340.6621666666667
2025-05-26,329.84,335.05,326.4,330.3,6085126,0.005448844784024853,0.005434053535104391,0.22813925199698892,341.076,340.6456666666666
2025-05-27,337.77,341.27,333.19,337.82,41653975,0.022767181350287657,0.022511876855455047,0.24034377324228448,340.008,340.6846666666667
2025-05-28,340.48,343.44,336.8,340.76,19082535,0.008702859510982153,0.008665207922440722,0.24117743636811395,339.3045,340.812
2025-05-29,342.75,344.29,337.25,342.38,27726605,0.004754079117267329,0.004742814171992631,0.23678273152837376,338.46500000000003,341.0236666666667
2025-05-30,338.83,339.65,334.77,337.02,7667489,-0.0156551200420586,-0.015778955574236034,0.23193159685806486,337.086,341.0803333333334
2025-06-02,336.56,337.49,333.18,336.2,24058405,-0.0024330900243308973,-0.0024360547978811158,0.22845248204493052,335.5375,341.22666666666663
2025-06-03,336.55,340.57,331.46,334.25,21547042,-0.00580011897679944,-0.005817004992462589,0.22263888446824903,334.225,341.32449999999994
2025-06-04,328.35,333.83,325.18,329.55,39962796,-0.014061331338818261,-0.014161128483323664,0.22567161529566812,332.7595,341.40333333333336
2025-06-05,329.53,334.18,325.41,329.59,14984604,0.00012137763617037223,0.0001213702705011034,0.21616265968760148,331.687,341.3998333333333
2025-06-06,330.78,333.94,326.38,330.22,21956935,0.001911465760490394,0.0019096412344563544,0.21535307976326667,330.8165,341.32849999999996
2025-06-09,332.08,333.48,329.21,331.21,28950246,0.0029980013324448773,0.0029935162883264078,0.1798706353218816,330.593,341.10599999999994
2025-06-10,327.82,329.94,325.11,327.85,14460108,-0.010144621237281326,-0.010196428582384424,0.1827599067989126,330.2645,340.88500000000005
2025-06-11,327.81,329.57,324.84,327.99,33762415,0.00042702455391174787,0.0004269334048745876,0.1632751505441427,330.326,340.6665
2025-06-12,316.62,320.28,314.72,317.66,26684810,-0.03149486264825141,-0.03200149170749408,0.1975497585161487,329.97400000000005,340.18033333333335
2025-06-13,312.44,314.59,306.61,310.56,7833331,-0.022350941257948787,-0.022604508986308884,0.2089381241020717,329.4455,339.5878333333333
2025-06-16,308.12,313.8,305.1,309.21,5068290,-0.004346986089644567,-0.004356461703889124,0.20658951158499259,329.018,339.02383333333336
