date,open,high,low,close,volume,returns,log_returns,volatility,sma_20,sma_60
2025-03-25,312.65,316.14,311.63,313.91,48471485,0.0061862939932046945,0.00616723742914124,0.16787659960469412,313.204,292.4653333333333
2025-03-26,314.26,314.9,312.64,314.86,31504998,0.0030263451307699363,0.0030217749666190392,0.16010019270034345,313.6225,293.2728333333333
2025-03-27,315.09,317.08,312.79,316.85,45859239,0.006320269326049788,0.006300380183043161,0.1568278839173649,313.96500000000003,294.05100000000004
2025-03-28,312.69,314.14,309.03,313.59,5298490,-0.010288780179895984,-0.010342075556800641,0.16071296359543935,314.22,294.6751666666667
2025-03-31,308.53,313.85,305.61,309.21,27200907,-0.013967282119965563,-0.014065742495914418,0.16905438526281394,314.231,295.17966666666666
2025-04-01,308.42,312.93,306.96,308.03,22076726,-0.0038161767083858544,-0.0038234768891589424,0.15325211334559619,313.8835,295.515
2025-04-02,299.94,304.2,297.93,299.94,16790860,-0.026263675616011395,-0.026614726174118055,0.17402823655594157,313.02,295.845
2025-04-03,303.69,306.89,299.28,303.54,25379480,0.012002400480096043,0.011930942878365757,0.16940794611593799,312.64849999999996,296.341
2025-04-04,302.54,304.0,302.25,302.27,12842824,-0.004183962574949018,-0.004192739837410323,0.15092883818262678,311.90999999999997,296.77316666666667
2025-04-07,305.79,307.12,302.0,305.07,27936326,0.00926324147285551,0.009220600776666395,0.15544318172121457,311.41549999999995,297.29016666666666
2025-04-08,300.0,301.41,297.65,301.41,30363903,-0.011997246533582362,-0.012069794328823068,0.1557489023952949,310.61899999999997,297.7733333333333
2025-04-09,300.69,301.65,296.81,301.22,44965382,-0.00063037059155302,-0.0006305693586300369,0.15091776408820742,309.6855,298.24133333333333
2025-04-10,293.65,298.04,289.66,294.55,25479354,-0.022143283978487527,-0.02239212681600625,0.1653156362623726,308.43850000000003,298.569
2025-04-11,294.1,298.88,292.11,296.43,26785243,0.006382617552198155,0.006362334907284665,0.16452681385127368,307.514,299.0355
2025-04-14,300.18,303.28,295.94,298.02,26013261,0.005363829571905621,0.005349495472332961,0.1651449644172126,306.819,299.461
2025-04-15,293.99,298.1,289.9,296.24,8437230,-0.00597275350647597,-0.005990661741956787,0.16567974792032542,306.06949999999995,299.81783333333334
2025-04-16,300.6,300.79,296.89,300.58,47184194,0.014650283553875099,0.014544004900590893,0.1757734613106394,305.49850000000004,300.3548333333334
2025-04-17,296.21,300.67,292.42,296.35,43348761,-0.014072792600971273,-0.014172753272100923,0.18066084251409767,304.70050000000003,300.81683333333336
2025-04-18,293.54,294.49,289.14,293.32,20025433,-0.010224396828074966,-0.010277025008248461,0.18189532816268988,303.86850000000004,301.2461666666667
2025-04-21,284.36,287.82,282.77,284.59,27162992,-0.02976271648711315,-0.03021461522160122,0.20200845667737427,302.49899999999997,301.45316666666673
2025-04-22,282.7,283.49,279.25,280.95,49527853,-0.012790329948346724,-0.012872830445790413,0.19990582686765215,300.851,301.6623333333333
2025-04-23,283.48,287.16,282.21,282.63,38916610,0.005979711692472023,0.005961904170478917,0.20183336006620833,299.2395,301.94800000000004
2025-04-24,275.62,280.86,274.05,277.05,14355286,-0.01974312705657566,-0.01994062641532734,0.20311770306511898,297.2495,302.1238333333333
2025-04-25,273.72,277.48,273.36,275.17,28670634,-0.0067857787402996195,-0.006808906824276434,0.20265647376464171,295.32849999999996,302.1308333333334
2025-04-28,273.85,277.61,269.74,273.78,33840550,-0.0050514227568413395,-0.005064224321716195,0.20072361712729697,293.55699999999996,302.07116666666667
2025-04-29,278.56,279.58,275.91,276.36,29016040,0.009423624808240438,0.009379499453228203,0.20799527995759376,291.9735,301.98733333333337
2025-04-30,283.75,287.27,280.97,283.46,37757870,0.025691127514835488,0.02536665611816496,0.22004558826407783,291.14950000000005,302.0948333333333
2025-05-01,286.31,289.62,283.24,286.57,29841651,0.01097156565300228,0.01091181467051752,0.21915885026426368,290.30100000000004,302.05766666666665
2025-05-02,281.16,284.39,276.51,280.35,19536915,-0.02170499354433464,-0.02194401183959514,0.229238743480617,289.20500000000004,301.9135
2025-05-05,282.4,285.17,280.92,281.94,44087283,0.005671482075976453,0.005655459773097812,0.22689622531040377,288.0485,301.7821666666667
2025-05-06,283.18,284.07,279.78,282.52,5802287,0.0020571752855216285,0.002055062197942049,0.22567363371764043,287.104,301.5501666666667
2025-05-07,279.03,280.59,277.79,279.52,10852498,-0.010618717258955135,-0.010675498154975096,0.22698495008312114,286.019,301.195
2025-05-08,281.12,284.06,276.37,280.44,37685847,0.003291356611333729,0.003285951953020477,0.21722190306339834,285.31350000000003,300.8926666666667
2025-05-09,281.09,283.18,276.57,280.27,27266690,-0.0006061902724291413,-0.0006063740800376782,0.21489439678993402,284.5055,300.4481666666667
2025-05-12,281.82,282.37,277.47,281.41,11913899,0.004067506333178983,0.004059256392850297,0.21429672525664936,283.675,300.04366666666664
2025-05-13,279.87,280.51,275.78,279.84,34515036,-0.005579048363597794,-0.005594669381287614,0.21422338564777882,282.855,299.7175
2025-05-14,268.33,271.67,267.09,267.8,22187406,-0.0430245854774155,-0.04397757801321964,0.2473319139629642,281.216,299.12833333333333
2025-05-15,271.52,273.07,268.63,270.06,33047005,0.008439133681852118,0.008403723275824183,0.2500463779996247,279.9015,298.6338333333333
2025-05-16,275.17,277.41,271.95,274.79,45240476,0.017514626379323106,0.017363013051269836,0.26080107134067027,278.97499999999997,298.2751666666667
2025-05-19,270.79,273.06,266.34,269.27,40031879,-0.0200880672513557,-0.020292575897779035,0.24972223998828816,278.209,297.7683333333333
2025-05-20,275.53,276.96,272.12,275.18,5485650,0.02194823040071303,0.02171083531328317,0.26118383462127437,277.9205,297.32516666666663
2025-05-21,276.52,279.72,273.44,276.78,12516867,0.005814376044770642,0.005797537798113671,0.26112666492085557,277.62800000000004,296.83
2025-05-22,276.73,280.8,275.76,276.05,22620233,-0.0026374738059107283,-0.0026409580677304386,0.251656396241161,277.57800000000003,296.26416666666665
2025-05-23,273.73,275.3,273.33,273.87,20353627,-0.007897120086940768,-0.007928467484954519,0.25208087863986917,277.51300000000003,295.68716666666666
2025-05-26,273.28,275.02,271.91,272.62,34555399,-0.004564209296381461,-0.0045746571024020775,0.25196026146750766,277.45500000000004,295.08099999999996
2025-05-27,276.22,279.87,275.77,276.69,34596637,0.014929205487491659,0.014818861773040135,0.2554515881688758,277.4715,294.44283333333334
2025-05-28,276.17,277.51,272.77,274.81,34597023,-0.006794607683689335,-0.006817796127754344,0.23784912731773714,277.039,293.73616666666663
2025-05-29,277.15,280.28,274.37,277.4,42819879,0.00942469342454788,0.009380558092748362,0.2368397222150877,276.5805,293.1766666666666
2025-05-30,274.09,277.93,270.71,273.66,16189452,-0.013482335976928495,-0.013574047929067018,0.22922001122885124,276.246,292.45366666666666
2025-06-02,274.15,277.6,270.52,274.1,38930705,0.0016078345392092075,0.0016065433570760118,0.2280772512960868,275.854,291.7726666666667
2025-06-03,275.02,276.29,273.34,274.55,22799251,0.0016417365924843441,0.0016403904161413692,0.22800066162079188,275.4555,291.0595
2025-06-04,273.45,273.5,269.14,272.67,45098350,-0.006847568748861721,-0.006871120926092861,0.22635010017408952,275.113,290.2725
2025-06-05,272.59,274.02,271.55,272.11,12556359,-0.002053764623904386,-0.002055876490482917,0.22575594468286633,274.69649999999996,289.48283333333336
2025-06-06,269.91,272.1,268.69,269.66,47192071,-0.009003711734225095,-0.009044490102377274,0.22732215661201233,274.166,288.7285
2025-06-09,268.5,271.91,266.15,267.94,31082078,-0.006378402432693164,-0.006398831357088887,0.22675161349736378,273.4925,287.9955
2025-06-10,270.97,271.66,268.62,271.14,33573768,0.011942972307232846,0.011872217802403422,0.2319151543885397,273.0575,287.3273333333334
2025-06-11,276.53,277.94,275.45,276.47,9292585,0.019657741388212857,0.019467023328852744,0.18494845749950473,273.491,286.73516666666666
2025-06-12,277.91,279.77,272.98,276.73,25972558,0.0009404275328244172,0.0009399856078960477,0.18320948014117178,273.82450000000006,286.14216666666664
2025-06-13,275.74,279.57,275.7,277.08,32533620,0.00126477071513742,0.0012639715664121167,0.17290613978753144,273.939,285.5941666666667
2025-06-16,278.79,283.19,277.22,279.01,49006049,0.006965497329291193,0.006941350318548484,0.15609104043776248,274.42600000000004,285.04466666666667
2025-06-17,277.36,279.5,275.28,277.47,24125337,-0.005519515429554311,-0.005534804238674211,0.13859250740841433,274.54049999999995,284.4373333333333
2025-06-18,278.46,282.35,277.98,278.33,40439275,0.0030994341730636865,0.0030946408288497237,0.13752987346885107,274.618,283.8285
2025-06-19,281.07,284.93,279.21,280.95,18029322,0.009413286386663389,0.00936925749507912,0.14071433555520213,274.863,283.2301666666666
2025-06-20,284.65,286.54,281.87,284.05,8974104,0.011033991813490074,0.01097356144492881,0.1410313105352718,275.37199999999996,282.73783333333336
2025-06-23,287.35,291.57,283.75,286.7,42343412,0.009329343425453107,0.0092860938861881,0.14125502589359865,276.076,282.36266666666666
2025-06-24,289.46,290.74,288.33,289.94,22115004,0.011301011510289616,0.011237632133427369,0.13758002022635415,276.73850000000004,282.0611666666667
2025-06-25,286.18,289.05,282.14,286.52,28466700,-0.011795543905635753,-0.011865663276501038,0.14303870567897234,277.32399999999996,281.8375
2025-06-26,285.98,288.83,285.35,287.55,21070812,0.0035948624877846225,0.0035884164135128933,0.14056947486736765,277.8315,281.571
2025-06-27,285.38,286.2,284.06,284.85,24304390,-0.009389671361502261,-0.009434032233358529,0.1353065400914272,278.39099999999996,281.28066666666666
2025-06-30,279.11,284.42,277.51,282.03,48233666,-0.009899947340705761,-0.009949277667835502,0.14180430313558728,278.7875,280.8966666666667
2025-07-01,279.37,282.46,275.3,279.49,43121720,-0.00900613409920914,-0.009046934478782426,0.1465846184764437,279.0345,280.53133333333335
2025-07-02,278.84,284.71,275.32,280.75,8769698,0.004508211385022776,0.0044980798387660075,0.14411215961376989,279.4385,280.19016666666664
2025-07-03,272.65,273.79,269.6,272.17,42723972,-0.030560997328584083,-0.031037722553713093,0.18356299012392605,279.4415,279.8171666666667
2025-07-04,280.79,284.82,276.62,280.71,11832839,0.031377447918580215,0.030895236891091794,0.21098993879742794,279.994,279.5551666666667
2025-07-07,279.16,282.72,276.24,278.29,38576698,-0.008620996758220034,-0.008658372516671465,0.2123302221557275,280.51149999999996,279.22633333333334
2025-07-08,285.22,289.64,284.4,286.1,25608554,0.02806424952387787,0.027677664616804865,0.2293874018602133,281.2595,279.0573333333333
2025-07-09,285.57,286.88,282.08,284.94,22436464,-0.004054526389374424,-0.004062768266979183,0.22156730590053525,281.683,278.7966666666667
2025-07-10,280.03,281.12,276.14,280.53,43256625,-0.01547694251421361,-0.015597960673620466,0.22973108745802923,281.873,278.533
2025-07-11,280.38,280.67,277.8,280.04,46630012,-0.0017466937582431008,-0.0017482210064680428,0.22989568745710304,282.021,278.3116666666666
2025-07-14,274.42,276.86,270.61,273.64,41877233,-0.02285387801742622,-0.02311907621619972,0.24299211199708015,281.75249999999994,278.12916666666666
2025-07-15,268.34,271.25,266.49,268.54,16563444,-0.018637626078058633,-0.01881349524823508,0.25066866284531414,281.306,277.9223333333333
2025-07-16,264.03,265.68,262.62,263.05,23348601,-0.020443881730840885,-0.020655750467745853,0.25872060183388296,280.54200000000003,277.59600000000006
2025-07-17,261.81,265.66,259.49,261.39,7080420,-0.0063105873408098034,-0.006330583265511158,0.2549548880802484,279.56399999999996,277.335
2025-07-18,262.65,266.23,261.75,263.49,24441762,0.008033972225410357,0.008001871685830624,0.2529039881550208,278.536,277.14033333333333
2025-07-21,263.14,267.22,259.66,264.4,47800281,0.00345364150442129,0.0034476913803953707,0.24975120886060292,277.421,276.98400000000004
2025-07-22,267.0,268.76,262.49,266.28,11613554,0.007110438729198254,0.00708527875497171,0.24678857995312073,276.238,276.816
2025-07-23,273.83,275.84,273.16,273.21,44465284,0.026025236593059997,0.0256923435153341,0.2669084118288875,275.5725,276.6451666666666
2025-07-24,275.34,279.78,274.35,276.51,6165903,0.01207862084111122,0.012006256425845643,0.2710358820230878,275.02049999999997,276.4775
2025-07-25,274.07,275.39,273.87,274.87,43692971,-0.005931069400744948,-0.00594872805060179,0.270030496201471,274.5215,276.3861666666667
2025-07-28,280.55,281.36,276.31,279.34,28499412,0.01626223305562613,0.016131419254544394,0.2753389631010838,274.387,276.3428333333333
2025-07-29,266.69,270.31,263.29,266.48,23732238,-0.046037087420347844,-0.04713048399220093,0.31875694344544314,273.73650000000004,276.0755
2025-07-30,264.87,268.03,262.82,265.02,21782484,-0.005478835184629327,-0.005493899048934205,0.3179445964596026,272.95,275.8338333333333
2025-07-31,264.15,265.0,262.14,263.99,37011714,-0.003886499132140897,-0.003894071195472048,0.30055167862130344,272.54100000000005,275.5596666666667
2025-08-01,268.63,269.22,266.78,268.44,39832945,0.01685669911739085,0.016716201649020615,0.2835147685988689,271.9275,275.3625
